pos_name,brand_line,proof,category,region,sub_region,whiskey_type_id,all_upcs
Michter's Small Batch Bourbon Whiskey,Michter's,90.2,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,39383007160|39383007184
Michter's Kentucky Straight Bourbon Whiskey Limited Release 25 Year,Michter's,116.2,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,39383007962
Michter's Single Barrel Bourbon Whiskey 20 Year,Michter's,114.2,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,39383008914|39383008990|39383009003
Michter's Small Batch Original Sour Mash Whiskey,Michter's,86.0,American,Other,Other,0cac00fc-a7ab-4c0a-894a-c40bdd25fdc7,39383009072
Michter's Toasted Barrel Finish Bourbon Whiskey,Michter's,91.4,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,39383009850
Bomberger's Declaration Kentucky Straight Bourbon Whiskey,Bomberger's,108.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,39383009904
Shenk's Homestead Kentucky Sour Mash Whiskey,Shenk's Homestead,91.2,American,Other,Other,0cac00fc-a7ab-4c0a-894a-c40bdd25fdc7,39383009928|39383011648|39383011655|39383011662
Michter's Limited Release Barrel Strength Kentucky Straight Rye Whiskey,Michter's,108.8,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,39383009942
Michter's US*1 Barrel Strength Kentucky Straight Rye Whiskey Toasted Barrel Finish,Michter's,88.8,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,39383010726
Michter's US*1 Limited Release Kentucky Straight Sour Mash Whiskey Toasted Barrel Finish,Michter's,86.0,American,Other,Other,0cac00fc-a7ab-4c0a-894a-c40bdd25fdc7,39383011464
Michter's US1 Toasted Barrel Finish Sour Mash Whiskey,Michter's,86.0,American,Other,Other,0cac00fc-a7ab-4c0a-894a-c40bdd25fdc7,39383011471
Bomberger's Declaration Kentucky Straight Bourbon Whiskey Small Batch,Bomberger's,108.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,39383011600
Bomberger's Kentucky Straight Bourbon Whiskey,Bomberger's,108.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,39383011617
Bubba's Secret Stills Burnt Sugar Whiskey,Bubba's Secret Stills,70.0,American,Other,Other,12ca2047-c61c-49fb-afcc-291238c6bf9e,39383011723|39383011747
Michter's Celebration Sour Mash Whiskey,Michter's,112.8,American,Other,Other,0cac00fc-a7ab-4c0a-894a-c40bdd25fdc7,39383011815
Bubba's Secret Stills Marshmallow Chocolate Whiskey,Bubba's Secret Stills,70.0,American,Other,Other,12ca2047-c61c-49fb-afcc-291238c6bf9e,39383011860|39383011884
Bomberger’s Declaration 2025 Release Precision Fine Grain Kentucky Straight Bourbon Whiskey,Bomberger’s Declaration,100.2,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,39383012027
Bubba's Secret Stills Pancakes & Bacon Whiskey,Bubba's Secret Stills,70.0,American,Other,Other,12ca2047-c61c-49fb-afcc-291238c6bf9e,39383012089|39383012102
